,bioprocess_count,genes_related
BUTANEDIOL ANABOLISM,1,['PPIB']
EXPLORATION BEHAVIOR,1,['PPIB']
FEAR RESPONSE,1,['PPIB']
MEIOSIS,1,['PPIB']
EPITHELIUM MIGRATION,1,['PPIB']
ETHANOL ANABOLISM,1,['PPIB']
SEROTONIN TRANSPORT,1,['PPIB']
WAX ANABOLISM,1,['PPIB']
FLORAL EVOCATION,1,['PPIB']
CONJUGANT FORMATION,1,['PPIB']
VIRAL BUDDING,1,['PPIB']
NEUTROPHIL CELL DIFFERENTIATION,1,['PPIB']
RESPONSE TO CORTICOSTEROID,1,['PPIB']
GHRELIN SECRETION,1,['PPIB']
PHOSPHOLIPID HOMEOSTASIS,1,['PPIB']
ESTABLISHMENT OF MITOTIC SPINDLE ORIENTATION,1,['PPIB']
POSITIVE REGULATION OF ANAGEN,1,['PPIB']
EPITHELIUM REGENERATION,1,['PPIB']
PALATUM MOLLE DEVELOPMENT,1,['PPIB']
GLUCOSINOLATE ANABOLISM,1,['PPIB']
CHOLESTEROL BREAKDOWN,1,['PPIB']
RESPONSE TO CHEMICAL,1,['PPIB']
MICROGLIA DEVELOPMENT,1,['PPIB']
VIRAL TRANSCRIPTION,1,['PPIB']
MUTUALISM,1,['PPIB']
PENTASACCHARIDE TRANSPORT,1,['PPIB']
ORGANIC CATION TRANSPORT,1,['PPIB']
IL-35 PRODUCTION,1,['PPIB']
QUERCETIN ANABOLISM,1,['PPIB']
MICROTUBULE BUNDLE FORMATION,1,['PPIB']
SOMATIC SEX DETERMINATION,1,['PPIB']
EXIT FROM MITOSIS,1,['PPIB']
STARCH METABOLIC PROCESS,1,['PPIB']
"DOWN REGULATION OF GENE EXPRESSION, EPIGENETIC",1,['PPIB']
ESTABLISHMENT OF RNA LOCALISATION,1,['PPIB']
"BETA-1,4-LINKED N-ACETYLGLUCOSAMINE BIOSYNTHESIS",1,['PPIB']
ROOT DEVELOPMENT,1,['PPIB']
EXPRESSION OF EXTRACELLULAR MATRIX PROTEINS,1,['PPIB']
STARTLE RESPONSE,1,['PPIB']
PROTEIN AMINO ACID FARNESYLATION,1,['PPIB']
POSITIVE REGULATION BY HOST OF VIRAL PROCESS,1,['PPIB']
POSITIVE REGULATION BY HOST OF VIRAL GENOME REPLICATION,1,['PPIB']
BONE DEVELOPMENT,1,['PPIB']
REGULATION OF POST-TRANSLATIONAL AMINO ACID MODIFICATION,1,['PPIB']
AGE-DEPENDENT RESPONSE TO ACTIVE OXYGEN SPECIES,1,['SOD2']
ACETYLCHOLINE-MEDIATED VASODILATION INVOLVED IN REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE,1,['SOD2']
ACTIVATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL DIFFERENTIATION INVOLVED IN PHENOTYPIC DIMORPHISM,1,['SOD2']
REGULATION OF INTERFERON-GAMMA PRODUCTION,1,['IFNG']
MACROPHAGE ACTIVATION DURING IMMUNE RESPONSE,1,['IFNG']
POSITIVE REGULATION OF AUTOPHAGY,1,['IFNG']
REGULATION OF PROTEIN ADP-RIBOSYLATION,1,['IFNG']
POSITIVE REGULATION OF IL-23 PRODUCTION,1,['IFNG']
"POSITIVE REGULATION OF CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DEVELOPMENT INVOLVED IN IMMUNE RESPONSE",1,['IFNG']
POSITIVE REGULATION OF SMC APOPTOSIS,1,['IFNG']
POSITIVE REGULATION OF NEUROGENESIS,1,['IFNG']
REGULATION OF GAMMA-INTERFERON-MEDIATED SIGNALING PATHWAY,1,['IFNG']
"POSITIVE REGULATION OF FRUCTOSE 1,6-BISPHOSPHATE 1-PHOSPHATASE ACTIVITY",1,['IFNG']
"POSITIVE REGULATION OF FRUCTOSE 1,6-BISPHOSPHATE METABOLIC PROCESS",1,['IFNG']
POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY,1,['IFNG']
POSITIVE REGULATION OF PROTEIN AMINO ACID DEACETYLATION,1,['IFNG']
DOWN REGULATION OF CDK5/P20,1,['IFNG']
POSITIVE REGULATION OF FERROUS ION IMPORT INTO CELL,1,['IFNG']
POSITIVE REGULATION OF CORE PROMOTER BINDING,1,['IFNG']
POSITIVE REGULATION OF RANKL PRODUCTION,1,['IFNG']
HEPATOCYTE DIFFERENTIATION,1,['BBS9']
PROTEIN LOCALIZATION TO CILIUM,1,['BBS9']
VIRAL MATURATION,1,['PGR']
FOREBRAIN REGIONALIZATION,1,['PGR']
SALICYLIC ACID-DEPENDENT SYSTEMIC RESISTANCE,1,['PGR']
EPITHELIAL CELL MATURATION,1,['PGR']
PROGESTERONE RECEPTOR SIGNALING PATHWAY,1,['PGR']
TRIACYLGLYCEROL MOBILIZATION,1,['APOB']
RESPONSE TO SELENIUM ION,1,['APOB']
POSITIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,1,['APOB']
POSITIVE REGULATION OF CHOLESTEROL STORAGE,1,['APOB']
TRIACYLGLYCEROL CATABOLIC PROCESS,1,['APOB']
CHYLOMICRON REMNANT FORMATION,1,['APOB']
CHYLOMICRON ASSEMBLY,1,['APOB']
CHYLOMICRON REMNANT CLEARANCE,1,['APOB']
VERY-LOW-DENSITY LIPOPROTEIN PARTICLE CLEARANCE,1,['APOB']
LIPOPROTEIN ANABOLISM,1,['APOB']
LIPOPROTEIN BREAKDOWN,1,['APOB']
CELLULAR RESPONSE TO PROSTAGLANDIN STIMULUS,1,['APOB']
INTERMEMBRANE LIPID TRANSFER,1,['APOB']
REGULATION OF SIGNAL TRANSDUCTION,1,['CRK']
DENDRITE DEVELOPMENT,1,['CRK']
REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,1,['CRK']
REGULATION OF RAC PROTEIN SIGNAL TRANSDUCTION,1,['CRK']
HELPER T CELL DIAPEDESIS,1,['CRK']
RESPONSE TO HEPATOCYTE GROWTH FACTOR,1,['CRK']
REELER-MEDIATED SIGNALING PATHWAY,1,['CRK']
REGULATION OF PROTEIN BINDING,1,['CRK']
DOWN REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY,1,['CRK']
REGULATION OF DENDRITE DEVELOPMENT,1,['CRK']
RESPONSE TO CHOLECYSTOKININ,1,['CRK']
CELLULAR RESPONSE TO NITRIC OXIDE,1,['CRK']
ACTIVATION OF GTPASE ACTIVITY,1,['CRK']
CEREBELLAR NEURON DEVELOPMENT,1,['CRK']
POSITIVE REGULATION OF CELL SPREADING DURING CELL SUBSTRATE ADHESION,1,['CRK']
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION,1,['CRK']
CELLULAR RESPONSE TO ENDOTHELIN,1,['CRK']
NEGATIVE REGULATION OF CELL LOCOMOTION,1,['CRK']
REGULATION OF T CELL MIGRATION,1,['CRK']
GO:0072613,1,['KIT']
DEFINITIVE ERYTHROCYTE DIFFERENTIATION,1,['KIT']
CELLULAR RESPONSE TO HEMATOPOIETIC GROWTH FACTOR KL,1,['KIT']
HEPARAN SULFATE BIOSYNTHETIC PROCESS,1,['KIT']
ESTROUS CYCLE,1,['KIT']
RECEPTOR RECYCLING,1,['KIT']
MYELOID PROGENITOR CELL DIFFERENTIATION,1,['KIT']
IMMATURE B CELL DEVELOPMENT,1,['KIT']
DENDRITIC CELL CYTOKINE PRODUCTION,1,['KIT']
SPERMATID CELL DEVELOPMENT,1,['KIT']
GERM CELL MIGRATION,1,['KIT']
MAINTENANCE OF PLURIPOTENCY,1,['KIT']
LAMELLIPODIUM ASSEMBLY,1,['KIT']
POSITIVE REGULATION OF PSEUDOPODIUM ASSEMBLY,1,['KIT']
ACTIN CYTOSKELETON REMODELING,1,['KIT']
HEMATOPOIETIC STEM CELL MIGRATION,1,['KIT']
MEGAKARYOCYTE CELL DEVELOPMENT,1,['KIT']
FC RECEPTOR SIGNALING PATHWAY,1,['KIT']
EPO-R SIGNALING PATHWAY,1,['KIT']
SOMATIC STEM CELL DIVISION,1,['KIT']
POSITIVE REGULATION OF LONG-TERM NEURONAL SYNAPTIC PLASTICITY,1,['KIT']
DIGESTIVE TRACT DEVELOPMENT,1,['KIT']
DETECTION OF MECHANICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF SOUND,1,['KIT']
CELLULAR RESPONSE TO THYROID HORMONE STIMULUS,1,['KIT']
MELANOCYTE MIGRATION,1,['KIT']
MELANOCYTE ADHESION,1,['KIT']
POSITIVE REGULATION OF PYLORIC ANTRUM SMOOTH MUSCLE CONTRACTION,1,['KIT']
REGULATION OF BILE ACID METABOLIC PROCESS,1,['KIT']
POSITIVE REGULATION OF COLON SMOOTH MUSCLE CONTRACTION,1,['KIT']
POSITIVE REGULATION OF SMALL INTESTINE SMOOTH MUSCLE CONTRACTION,1,['KIT']
POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL DIFFERENTIATION,1,['KIT']
ORGANIC ACID METABOLIC PROCESS,1,['CYP2E1']
CARBON TETRACHLORIDE METABOLIC PROCESS,1,['CYP2E1']
BENZENE METABOLIC PROCESS,1,['CYP2E1']
4-NITROPHENOL METABOLIC PROCESS,1,['CYP2E1']
EPOXYGENASE P450 PATHWAY,1,['CYP2E1']
HALOGENATED HYDROCARBON METABOLIC PROCESS,1,['CYP2E1']
NEURAL CREST CELL MIGRATION,1,['HIF1A']
B-1 B CELL HOMEOSTASIS,1,['HIF1A']
CARDIAC VENTRICLE MORPHOGENESIS,1,['HIF1A']
RESPONSE TO MUSCLE ACTIVITY,1,['HIF1A']
AXON TRANSPORT OF MITOCHONDRIA,1,['HIF1A']
NEURAL FOLD ELEVATION FORMATION,1,['HIF1A']
DOWN REGULATION OF BONE MINERALIZATION,1,['HIF1A']
DOWN REGULATION OF TOR SIGNALING PATHWAY,1,['HIF1A']
COLLAGEN METABOLIC PROCESS,1,['HIF1A']
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO OXIDATIVE STRESS,1,['HIF1A']
POSITIVE REGULATION OF HORMONE ANABOLISM,1,['HIF1A']
EPITHELIAL CELL DIFFERENTIATION INVOLVED IN MAMMARY GLAND ALVEOLUS DEVELOPMENT,1,['HIF1A']
IRIS MORPHOGENESIS,1,['HIF1A']
RETINA VASCULATURE DEVELOPMENT IN CAMERA-TYPE EYE,1,['HIF1A']
POSITIVE REGULATION OF CHEMOKINE-MEDIATED SIGNALING PATHWAY,1,['HIF1A']
DOWN REGULATION OF THYMOCYTE APOPTOSIS,1,['HIF1A']
DOWN REGULATION OF NEURON APOPTOSIS IN RESPONSE TO OXIDATIVE STRESS,1,['HIF1A']
ACTIVATION OF MITOCHONDRION DEGRADATION,1,['HIF1A']
REGULATION OF AEROBIC RESPIRATION,1,['HIF1A']
NEGATIVE REGULATION OF MESENCHYMAL CELL APOPTOTIC PROCESS,1,['HIF1A']
PANCREAS DEVELOPMENT,1,['TG']
VITELLOGENESIS,1,['TG']
INTRACELLULAR CHOLESTEROL TRANSPORT,1,['TG']
NEUTROCYTE AGGREGATION,1,['TG']
ANGIOTENSIN MEDIATED CONTROL OF RENAL OUTPUT,1,['ACE']
POSITIVE REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE,1,['ACE']
POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION,1,['ACE']
REGULATION OF SMOOTH MUSCLE CELL MIGRATION,1,['ACE']
REGULATION OF VASOCONSTRICTION,1,['ACE']
MONONUCLEAR CELL PROLIFERATION,1,['ACE']
POSITIVE REGULATION OF BLOOD PRESSURE,1,['ACE']
ARACHIDONIC ACID SECRETION,1,['ACE']
REGULATION OF ANGIOTENSIN METABOLIC PROCESS,1,['ACE']
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY,1,['ACE']
BONE MARROW CELL PROLIFERATION,1,['ACE']
POSITIVE REGULATION OF PEPTIDYL-CYSTEINE S-NITROSYLATION,1,['ACE']
REGULATION OF B CELL APOPTOTIC PROCESS,1,['PTEN']
NERVE-NERVE SYNAPTIC TRANSMISSION,1,['PTEN']
NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,1,['PTEN']
GROWTH CONE COLLAPSE,1,['PTEN']
DENTATE GYRUS DEVELOPMENT,1,['PTEN']
CENTRAL NERVOUS SYSTEM NEURON AXONOGENESIS,1,['PTEN']
ADULT BEHAVIOR,1,['PTEN']
DOWN REGULATION OF MYELINATION,1,['PTEN']
"REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC",1,['PTEN']
CENTRAL NERVOUS SYSTEM MYELIN MAINTENANCE,1,['PTEN']
REGULATION OF CELLULAR COMPONENT SIZE,1,['PTEN']
REGULATION OF MYELOID CELL APOPTOTIC PROCESS,1,['PTEN']
MULTICELLULAR ORGANISMAL RESPONSE TO STRESS,1,['PTEN']
PEPTIDYL-TYROSINE DEPHOSPHORYLATION,1,['PTEN']
MATERNAL BEHAVIOR,1,['PTEN']
INOSITOL PHOSPHATE METABOLIC PROCESS,1,['PTEN']
LOCOMOTOR RHYTHM,1,['PTEN']
POSITIVE REGULATION OF NEURON DIFFERENTIATION,1,['PTEN']
NEGATIVE REGULATION OF ORGAN GROWTH,1,['PTEN']
INOSITOL PHOSPHATE DEPHOSPHORYLATION,1,['PTEN']
PDGF RECEPTOR SIGNALING PATHWAY,1,['PTEN']
DOWN REGULATION OF AXON REGENERATION,1,['PTEN']
CARDIAC MUSCLE TISSUE DEVELOPMENT,1,['PTEN']
FOREBRAIN MORPHOGENESIS,1,['PTEN']
DOWN REGULATION OF AXONOGENESIS,1,['PTEN']
DOWN REGULATION OF KERATINOCYTE MIGRATION,1,['PTEN']
DOWN REGULATION OF FOCAL ADHESION FORMATION,1,['PTEN']
REGULATION OF AKT SIGNALING CASCADE,1,['PTEN']
RHYTHMIC SYNAPTIC TRANSMISSION,1,['PTEN']
NEGATIVE REGULATION OF CARDIAC MUSCLE CELL PROLIFERATION,1,['PTEN']
CANONICAL WNT RECEPTOR SIGNALING PATHWAY,1,['PTEN']
SYNAPSE MATURATION,1,['PTEN']
PPI,1,['PTEN']
MALE MATING BEHAVIOR,1,['PTEN']
LONG TERM DEPRESSION,1,['PTEN']
DENDRITIC SPINE MORPHOGENESIS,1,['PTEN']
NEGATIVE REGULATION OF DENDRITIC SPINE MORPHOGENESIS,1,['PTEN']
CELLULAR RESPONSE TO ELECTRICAL STIMULUS,1,['PTEN']
CELLULAR RESPONSE TO ETHANOL,1,['PTEN']
NEGATIVE REGULATION OF RIBOSOME BIOGENESIS,1,['PTEN']
NEGATIVE REGULATION OF CELL AGING,1,['PTEN']
NEGATIVE REGULATION OF EPSP,1,['PTEN']
PRE-SYNAPTIC MEMBRANE ASSEMBLY,1,['PTEN']
POST SYNAPTIC DENSITY ASSEMBLY,1,['PTEN']
DOWN REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY,1,['PTEN']
DOWN REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,1,['PTEN']
"DOWN REGULATION OF WOUND HEALING, SPREADING OF EPIDERMAL CELLS",1,['PTEN']
POSITIVE REGULATION OF TRAIL-ACTIVATED APOPTOTIC SIGNALING PATHWAY,1,['PTEN']
ACTIVATION OF E3,1,['PTEN']
POSITIVE REGULATION OF EPSP,1,['PTEN']
NEGATIVE REGULATION OF SYNAPTIC VESICLE CLUSTERING,1,['PTEN']
Apoptosis,335,"['CFTR', 'CFTR', 'CFTR', 'TGFB1', 'TGFB1', 'TGFB1', 'TGFB1', 'CAMP', 'CAMP', 'CAMP', 'ELANE', 'ELANE', 'ELANE', 'TNFRSF1A', 'TNFRSF1A', 'TNFRSF1A', 'TNFRSF1A', 'SLPI', 'SLPI', 'SLPI', 'TNF', 'TNF', 'TNF', 'TNF', 'DCTN4', 'DCTN4', 'DCTN4', 'ERVK-10', 'ERVK-10', 'ERVK-10', 'ERVK-10', 'CA2', 'CA2', 'CA2', 'CXCR1', 'CXCL8', 'CXCL8', 'CXCL8', 'LEP', 'LEP', 'LEP', 'ANO1', 'TLR4', 'TLR4', 'TLR4', 'INS', 'INS', 'INS', 'TLR5', 'TLR5', 'FAS', 'FAS', 'FAS', 'FAS', 'CCL2', 'CCL2', 'CCL2', 'CAT', 'CAT', 'CAT', 'CAT', 'CAT', 'CAT', 'SLC9A3R1', 'SLC9A3R1', 'SLC9A3R1', 'IFNA1', 'IFNA1', 'IFNA1', 'IFNA1', 'PTH', 'PTH', 'PTH', 'CXCR2', 'CXCR2', 'CXCR2', 'VIP', 'VIP', 'VIP', 'GSN', 'GSN', 'GSN', 'GSN', 'DNASE1', 'DNASE1', 'DNASE1', 'CD8A', 'CD8A', 'CD8A', 'MUC4', 'MUC4', 'AKT1', 'AKT1', 'AKT1', 'SLURP1', 'HFE', 'AHSA1', 'AHSA1', 'AHSA1', 'TIMP1', 'TIMP1', 'TIMP1', 'TIMP1', 'MPO', 'MPO', 'MPO', 'IL2', 'IL2', 'IL2', 'NR3C1', 'NR3C1', 'PRTN3', 'TTR', 'TTR', 'TTR', 'LPO', 'KCNN4', 'KCNN4', 'KCNN4', 'REN', 'REN', 'EGFR', 'EGFR', 'EGFR', 'PPARG', 'PPARG', 'AQP5', 'ALB', 'ALB', 'ALB', 'ALB', 'ANXA5', 'ANXA5', 'HSPA4', 'HSPA4', 'HSPA4', 'HSPA4', 'ABCC8', 'ABCC8', 'SMAD3', 'SMAD3', 'SMAD3', 'SMAD3', 'IL6', 'IL6', 'IL6', 'VEGFA', 'VEGFA', 'VEGFA', 'VEGFA', 'TP53', 'TP53', 'TP53', 'TP53', 'MAPK1', 'MAPK1', 'MAPK1', 'TH', 'TH', 'TH', 'CD4', 'CD4', 'CD4', 'FOS', 'FOS', 'FOS', 'FOS', 'SOD1', 'SOD1', 'SOD1', 'SOD1', 'SOD1', 'POMC', 'POMC', 'POMC', 'MMP9', 'MMP9', 'MMP9', 'AR', 'AR', 'AR', 'MAPK8', 'MAPK8', 'MAPK8', 'CDKN1A', 'CDKN1A', 'CDKN1A', 'CDKN1A', 'ESR1', 'ESR1', 'ESR1', 'RELA', 'RELA', 'RELA', 'RELA', 'PTGS2', 'PTGS2', 'PTGS2', 'BAX', 'BAX', 'BAX', 'BAX', 'STAT3', 'STAT3', 'STAT3', 'IL10', 'IL10', 'IL10', 'WDTC1', 'WDTC1', 'WDTC1', 'CISH', 'CISH', 'CISH', 'MUC7', 'MUC7', 'MMP2', 'MMP2', 'MMP2', 'PIK3CA', 'PIK3CA', 'PIK3CA', 'MAPK3', 'MAPK3', 'MAPK3', 'PTS', 'PTS', 'GPI', 'GPI', 'GPI', 'MCOLN1', 'MCOLN1', 'MCOLN1', 'CP', 'BCL2', 'BCL2', 'BCL2', 'BCL2', 'MTOR', 'MTOR', 'MTOR', 'RHO', 'RHO', 'RHO', 'EGF', 'EGF', 'EGF', 'CCND1', 'CCND1', 'CCND1', 'CCND1', 'PPARA', 'PPARA', 'PPARA', 'G6PD', 'G6PD', 'G6PD', 'ABCB1', 'ABCB1', 'ABCB1', 'ABCB1', 'HGS', 'HGS', 'HGS', 'ITGAM', 'ITGAM', 'ITGAM', 'SST', 'SST', 'CD40', 'CD40', 'CD40', 'AHR', 'AHR', 'GSR', 'GSR', 'GSR', 'CD44', 'CD44', 'CD44', 'TCEAL1', 'TCEAL1', 'TCEAL1', 'TCEAL1', 'GC', 'GC', 'CCK', 'CCK', 'GRK2', 'GRK2', 'GRK2', 'PPIG', 'PSMB6', 'PSMB6', 'CTLA4', 'CREBBP', 'CREBBP', 'CREBBP', 'SLC17A5', 'SLC17A5', 'SLC17A5', 'SOD2', 'SOD2', 'SOD2', 'IFNG', 'BBS9', 'BBS9', 'BBS9', 'BBS9', 'PGR', 'PGR', 'PGR', 'PGR', 'APOB', 'CRK', 'CRK', 'CRK', 'CRK', 'KIT', 'KIT', 'KIT', 'KIT', 'KIT', 'KIT', 'CYP2E1', 'CYP2E1', 'HIF1A', 'HIF1A', 'HIF1A', 'ACE', 'ACE', 'ACE', 'PTEN', 'PTEN', 'PTEN']"
Growth,307,"['TGFB1', 'TGFB1', 'TGFB1', 'CAMP', 'CAMP', 'CAMP', 'ELANE', 'ELANE', 'SCNN1B', 'TNFRSF1A', 'TNFRSF1A', 'TNFRSF1A', 'SLPI', 'SLPI', 'TNF', 'TNF', 'TNF', 'TNF', 'DCTN4', 'DCTN4', 'DCTN4', 'MUC5B', 'ERVK-10', 'ERVK-10', 'ERVK-10', 'CA2', 'CA2', 'CA2', 'CXCR1', 'CXCL8', 'CXCL8', 'CXCL8', 'LEP', 'LEP', 'LEP', 'ANO1', 'ANO1', 'TLR4', 'TLR4', 'TLR4', 'INS', 'INS', 'INS', 'TLR5', 'FAS', 'FAS', 'FAS', 'CCL2', 'CCL2', 'CCL2', 'CAT', 'CAT', 'CAT', 'CAT', 'CAT', 'CAT', 'SLC9A3R1', 'SLC9A3R1', 'IFNA1', 'IFNA1', 'IFNA1', 'IFNA1', 'PTH', 'PTH', 'PTH', 'PTH', 'DEFB4A', 'CXCR2', 'CXCR2', 'HP', 'VIP', 'VIP', 'GSN', 'GSN', 'CD8A', 'MUC4', 'MUC4', 'AKT1', 'AKT1', 'AKT1', 'SLURP1', 'SLURP1', 'SLURP1', 'HFE', 'HFE', 'SCT', 'AHSA1', 'AHSA1', 'TIMP1', 'TIMP1', 'TIMP1', 'TIMP1', 'MPO', 'MPO', 'MPO', 'IL2', 'IL2', 'IL2', 'IL2', 'IL4', 'IL5', 'NR3C1', 'NR3C1', 'PRTN3', 'PRTN3', 'TTR', 'TTR', 'BPIFB1', 'CRP', 'LPO', 'LPO', 'FAM13A', 'REN', 'REN', 'REN', 'EGFR', 'EGFR', 'EGFR', 'EGFR', 'PPARG', 'PPARG', 'ALB', 'ALB', 'ALB', 'ANXA5', 'HSPA4', 'HSPA4', 'PRSS1', 'SMAD3', 'SMAD3', 'IL6', 'IL6', 'IL6', 'VEGFA', 'VEGFA', 'VEGFA', 'VEGFA', 'TP53', 'TP53', 'TP53', 'MAPK1', 'MAPK1', 'TH', 'TH', 'TH', 'CD4', 'CD4', 'CD4', 'CD4', 'FOS', 'FOS', 'FOS', 'SOD1', 'SOD1', 'SOD1', 'SOD1', 'POMC', 'POMC', 'POMC', 'MMP9', 'MMP9', 'MMP9', 'MMP9', 'AR', 'AR', 'AR', 'MAPK8', 'MAPK8', 'MAPK8', 'CDKN1A', 'CDKN1A', 'CDKN1A', 'ESR1', 'ESR1', 'ESR1', 'RELA', 'RELA', 'RELA', 'PTGS2', 'PTGS2', 'PTGS2', 'BAX', 'BAX', 'BAX', 'STAT3', 'STAT3', 'STAT3', 'IL10', 'IL10', 'IL10', 'WDTC1', 'WDTC1', 'WDTC1', 'CYP3A4', 'CYP3A4', 'CISH', 'CISH', 'CISH', 'MUC7', 'MUC7', 'MUC7', 'MMP2', 'MMP2', 'PIK3CA', 'PIK3CA', 'PIK3CA', 'MAPK3', 'MAPK3', 'PTS', 'PTS', 'GPI', 'GPI', 'GPI', 'MCOLN1', 'MCOLN1', 'MCOLN1', 'CP', 'CP', 'CP', 'BCL2', 'BCL2', 'BCL2', 'MTOR', 'MTOR', 'MTOR', 'RHO', 'RHO', 'RHO', 'EGF', 'EGF', 'EGF', 'CCND1', 'CCND1', 'CCND1', 'PPARA', 'PPARA', 'G6PD', 'G6PD', 'G6PD', 'G6PD', 'ABCB1', 'HGS', 'HGS', 'ITGAM', 'ITGAM', 'SST', 'SST', 'SST', 'CD40', 'CD40', 'CD40', 'AHR', 'AHR', 'AHR', 'GSR', 'GSR', 'CD44', 'CD44', 'CD44', 'TCEAL1', 'TCEAL1', 'TCEAL1', 'GC', 'GC', 'GC', 'CCK', 'CCK', 'CCK', 'GRK2', 'GRK2', 'GRK2', 'PPIG', 'PPIG', 'PSMB6', 'PSMB6', 'PSMB6', 'CREBBP', 'CREBBP', 'SLC17A5', 'SOD2', 'SOD2', 'BBS9', 'BBS9', 'BBS9', 'PGR', 'PGR', 'PGR', 'APOB', 'CRK', 'CRK', 'CRK', 'KIT', 'KIT', 'KIT', 'KIT', 'KIT', 'KIT', 'CYP2E1', 'HIF1A', 'HIF1A', 'HIF1A', 'ACE', 'ACE', 'ACE', 'PTEN', 'PTEN', 'PTEN']"
